ID,Fecha,Unidad,Region,Actividad,Horas,Recursos,Incidentes,Tiempo,Calidad,Costo,Resultado
499,2023-05-23,C,Norte,159.0,193.9,12,1,15.47,92.6,29890.0,225.1
95,2023-06-11,D,Sur,98.0,188.2,27,2,23.91,93.9,20584.0,140.2
151,2024-05-17,E,Norte,151.0,148.9,11,2,14.91,,26795.0,232.5
222,2023-08-13,D,Centro,93.0,161.2,13,3,15.26,95.6,21543.0,128.5
424,2023-02-18,B,Norte,120.0,149.4,17,0,13.84,94.7,23026.0,192.0
14,2024-04-03,E,Centro,134.0,146.2,12,2,17.9,89.7,25058.0,197.3
210,2023-01-28,B,Sur,103.0,177.4,16,1,15.77,94.2,24399.0,146.9
399,2023-01-22,E,Sur,145.0,167.1,33,2,22.66,91.6,26848.0,203.9
32,2024-04-04,A,Norte,115.0,196.2,21,4,17.0,92.5,24975.0,148.5
236,2024-11-07,C,Centro,81.9,144.7,15,5,25.27,81.2,24143.98,100.368
182,2025-05-13,B,Sur,65.0,171.1,31,1,17.05,86.7,15139.0,95.9
496,2024-10-15,D,Centro,114.66000000000001,174.8,12,5,20.23,84.2,34661.32,163.008
327,2024-02-19,B,Sur,122.0,157.6,11,3,18.6,86.6,22098.0,170.6
30,2023-10-04,B,Norte,146.0,151.7,9,2,13.65,85.6,26813.0,205.7
337,2023-01-02,A,Norte,133.0,157.5,15,2,17.28,94.5,27598.0,187.0
57,2024-10-08,A,Norte,123.24000000000001,175.2,9,6,22.21,83.7,33038.82,161.42399999999998
285,2023-07-22,C,Norte,151.0,176.6,18,2,18.27,90.7,28876.0,221.6
479,2025-01-28,D,Centro,157.0,175.7,20,2,20.6,91.6,27096.0,227.1
130,2024-04-16,D,Sur,105.0,164.6,13,3,19.7,87.6,21540.0,133.4
18,2025-05-21,E,Norte,169.0,157.8,20,4,14.47,93.9,29303.0,240.0
227,2024-09-19,C,Sur,114.66000000000001,178.7,8,3,23.46,82.4,30756.699999999997,157.89600000000002
205,2024-11-12,E,Centro,95.16,173.9,23,5,23.03,79.5,28619.719999999998,116.85600000000001
91,2024-12-03,D,Centro,116.0,162.0,17,3,15.72,97.0,23023.0,159.9
198,2023-06-09,A,Norte,125.0,167.3,12,3,20.43,93.3,23698.0,163.4
217,2024-05-20,B,Sur,184.0,160.5,11,3,20.41,97.6,30045.0,266.9
312,2024-05-25,C,Norte,155.0,158.7,32,1,21.32,95.4,28253.0,227.6
15,2023-03-29,B,Norte,112.0,189.2,8,3,19.69,93.6,24841.0,159.1
322,2025-05-21,C,Centro,131.0,166.4,18,2,13.72,96.2,23481.0,183.2
320,2024-07-04,B,Norte,170.0,166.7,23,2,15.56,85.6,29914.0,260.5
255,2024-05-24,B,Centro,137.0,179.9,24,4,15.7,96.1,25846.0,194.1
410,2023-08-14,A,Centro,153.0,179.7,25,0,19.25,92.6,29349.0,232.8
466,2024-09-30,A,Sur,124.80000000000001,164.3,19,9,17.03,88.3,34021.759999999995,159.552
122,2025-03-23,B,Centro,78.0,162.2,24,1,15.54,83.7,18193.0,107.5
416,2024-04-25,C,Centro,117.0,164.0,28,1,18.64,91.6,24639.0,163.0
176,2025-05-07,C,Centro,121.0,149.1,28,3,19.47,86.1,22474.0,167.7
103,2024-12-27,C,Centro,157.0,153.9,31,0,,96.9,29638.0,242.0
258,2024-01-22,B,Sur,142.0,168.0,17,4,18.66,90.5,25956.0,206.1
334,2024-09-15,B,Sur,99.84,185.6,30,4,17.42,79.1,28214.98,140.04
338,2025-06-15,C,Centro,145.0,176.5,20,4,20.75,93.0,28139.0,186.4
3,2025-05-10,D,Sur,108.0,188.9,25,2,19.09,95.9,22468.0,141.6
407,2025-02-14,B,Norte,140.0,162.7,31,2,19.62,87.8,25057.0,189.4
392,2024-10-01,A,Centro,67.86,167.6,31,3,26.88,85.8,21785.16,84.168
